start_time,end_time,start_direction,base_lot,terminal_level,won,pnl,trades,end_balance
2004-06-14T10:04:00.000Z,2004-06-18T14:21:00.000Z,BUY,0.01,1,1,10.00,1,10010.00
2004-06-18T14:21:00.000Z,2004-10-08T14:45:00.000Z,SELL,0.01,2,1,10.00,2,10020.00
2004-10-08T14:45:00.000Z,2004-11-04T15:07:00.000Z,BUY,0.01,1,1,10.00,1,10030.00
2004-11-04T15:07:00.000Z,2005-01-06T16:15:00.000Z,SELL,0.01,3,1,10.00,3,10040.00
2005-01-06T16:15:00.000Z,2005-02-22T14:20:00.000Z,BUY,0.01,1,1,10.00,1,10050.00
2005-02-22T14:20:00.000Z,2005-04-04T16:35:00.000Z,SELL,0.01,1,1,10.00,1,10060.00
2005-04-04T16:35:00.000Z,2005-04-19T18:06:00.000Z,BUY,0.01,1,1,10.00,1,10070.00
2005-04-19T18:06:00.000Z,2005-05-12T18:12:00.000Z,SELL,0.01,1,1,10.00,1,10080.00
2005-05-12T18:12:00.000Z,2005-06-16T14:50:00.000Z,BUY,0.01,1,1,10.00,1,10090.00
2005-06-16T14:50:00.000Z,2005-07-05T16:01:00.000Z,SELL,0.01,1,1,10.00,1,10100.00
2005-07-05T16:01:00.000Z,2005-08-02T14:52:00.000Z,BUY,0.01,1,1,10.00,1,10110.00
2005-08-02T14:52:00.000Z,2005-09-19T12:52:00.000Z,SELL,0.01,2,1,10.00,2,10120.00
2005-09-19T12:52:00.000Z,2005-11-22T02:35:00.000Z,SELL,0.01,2,1,10.00,2,10130.00
2005-11-22T02:35:00.000Z,2005-12-09T02:35:00.000Z,SELL,0.01,2,1,10.00,2,10140.00
2005-12-09T02:35:00.000Z,2005-12-14T01:57:00.000Z,SELL,0.01,1,1,10.00,1,10150.00
2005-12-14T01:57:00.000Z,2006-01-03T12:54:00.000Z,BUY,0.01,3,1,10.00,3,10160.00
2006-01-03T12:54:00.000Z,2006-01-13T16:39:00.000Z,SELL,0.01,2,1,10.00,2,10170.00
2006-01-13T16:39:00.000Z,2006-01-18T05:59:00.000Z,SELL,0.01,1,1,10.00,1,10180.00
