start_time,end_time,start_direction,base_lot,terminal_level,won,pnl,trades,end_balance
2020-01-02T06:00:00.000Z,2020-01-02T16:37:00.000Z,BUY,0.01,1,1,10.00,1,10010.00
2020-01-02T16:37:00.000Z,2020-01-03T04:27:00.000Z,BUY,0.01,1,1,10.00,1,10020.00
2020-01-03T04:27:00.000Z,2020-01-03T13:43:00.000Z,BUY,0.01,1,1,10.00,1,10030.00
2020-01-03T13:43:00.000Z,2020-01-06T01:05:00.000Z,BUY,0.01,1,1,10.00,1,10040.00
2020-01-06T01:05:00.000Z,2020-01-06T01:05:00.000Z,BUY,0.01,1,1,10.00,1,10050.00
2020-01-06T01:05:00.000Z,2020-01-06T01:06:00.000Z,BUY,0.01,1,1,10.00,1,10060.00
2020-01-06T01:06:00.000Z,2020-01-08T01:24:00.000Z,BUY,0.01,3,1,10.00,3,10070.00
2020-01-08T01:24:00.000Z,2020-01-08T02:11:00.000Z,BUY,0.01,1,1,10.00,1,10080.00
2020-01-08T02:11:00.000Z,2020-01-08T15:00:00.000Z,BUY,0.01,2,1,10.00,2,10090.00
2020-01-08T15:00:00.000Z,2020-01-09T08:38:00.000Z,BUY,0.01,2,1,10.00,2,10100.00
2020-01-09T08:38:00.000Z,2020-01-09T14:31:00.000Z,BUY,0.01,1,1,10.00,1,10110.00
2020-01-09T14:31:00.000Z,2020-01-10T23:41:00.000Z,BUY,0.01,1,1,10.00,1,10120.00
2020-01-10T23:41:00.000Z,2020-01-24T17:26:00.000Z,BUY,0.01,3,1,10.00,3,10130.00
2020-01-24T17:26:00.000Z,2020-01-27T01:06:00.000Z,BUY,0.01,1,1,10.00,1,10140.00
2020-01-27T01:06:00.000Z,2020-02-04T17:27:00.000Z,BUY,0.01,4,1,10.00,4,10150.00
2020-02-04T17:27:00.000Z,2020-02-06T11:26:00.000Z,BUY,0.01,1,1,10.00,1,10160.00
2020-02-06T11:26:00.000Z,2020-02-07T16:34:00.000Z,BUY,0.01,1,1,10.00,1,10170.00
2020-02-07T16:34:00.000Z,2020-02-14T20:09:00.000Z,BUY,0.01,1,1,10.00,1,10180.00
2020-02-14T20:09:00.000Z,2020-02-18T17:21:00.000Z,BUY,0.01,1,1,10.00,1,10190.00
2020-02-18T17:21:00.000Z,2020-02-18T18:23:00.000Z,BUY,0.01,1,1,10.00,1,10200.00
2020-02-18T18:23:00.000Z,2020-02-20T13:48:00.000Z,BUY,0.01,1,1,10.00,1,10210.00
2020-02-20T13:48:00.000Z,2020-02-21T05:18:00.000Z,BUY,0.01,1,1,10.00,1,10220.00
2020-02-21T05:18:00.000Z,2020-02-21T09:38:00.000Z,BUY,0.01,1,1,10.00,1,10230.00
